,formula,spacegroup
33212,Sn(SeO3)2,P2_1/c
33213,Cs2SeO4,Pnma
33214,Cs3(SeO4)2,C2
33215,CsSeO4,I4_1/amd
33216,BaSeO3,P2_1/m
33217,BaSeO4,Pnma
33218,BaSe2O5,P2_1/c
33219,Ba(SeO3)2,P-1
33220,La2SeO2,P-3m1
33221,La4Se3O4,Amm2
33222,La2Se2O,P2_1/c
33223,La2Se2O,Pnma
33224,La2(SeO3)3,Pnma
33225,La10Se14O,I4_1/acd
33226,La(SeO3)2,Pca2_1
33227,La(SeO4)3,P6_3/m
33228,LaSe2O9,P2_1/c
33229,La2(SeO8)3,C2/c
33230,Ce2SeO2,P-3m1
33231,Ce2SeO2,I4/mmm
33232,Ce4Se3O4,Amm2
33233,Ce2(SeO3)3,Pnma
33234,Ce(SeO3)2,P2_1/c
33235,Ce10Se14O,I4_1/acd
33236,Ce(SeO4)2,Pbca
33237,Ce2Se4O17,Cc
33238,Pr2SeO2,P-3m1
33239,Pr4Se3O4,Amm2
33240,Pr2Se2O,P2_1/c
33241,Pr2(SeO3)3,P2_1/c
33242,Pr10Se14O,I4_1/acd
33243,PrSe4O11,P2_1/c
33244,Pr2Se3O16,P2_1/c
33245,Nd2SeO2,P-3m1
33246,Nd4Se3O4,Amm2
33247,NdSeO,Cmce
33248,Nd2(SeO3)3,Pnma
33249,Nd10Se14O,I4_1/acd
33250,Nd2(SeO4)3,C2/c
33251,Nd(SeO4)3,P6_3/m
33252,Sm2SeO2,P-3m1
33253,Sm4Se3O4,Amm2
33254,Sm2Se2O,P2_1/c
33255,Sm2Se2O,Pnma
33256,Sm2(SeO3)3,P-1
33257,Sm2Se5O13,P2_1/c
33258,Sm(SeO4)2,P2_12_12_1
33259,Sm2Se3O20,C2/c
33260,Eu2SeO2,P-3m1
33261,Eu2SeO2,I4/mmm
33262,EuSeO3,P2_1/m
33263,EuSeO4,P2_1/c
33264,EuSeO4,Cmcm
33265,Eu(SeO4)2,Pbca
33266,Gd2SeO2,P-3m1
33267,Gd2Se2O,Pnma
33268,Tb2SeO2,P-3m1
33269,Tb2SeO2,I4/mmm
33270,Tb2SeO2,Pnnm
33271,Tb2Se2O7,P4_2/ncm
33272,Dy2SeO2,P-3m1
33273,Dy2SeO2,I4/mmm
33274,DySeO3,P2_1/c
33275,Dy2(SeO4)3,Pbcn
33276,Dy2(SeO4)3,C2/c
33277,Ho2SeO2,P-3m1
33278,Ho2(SeO3)3,P-1
33279,Ho2(SeO3)3,P6_3/m
33280,Ho2(SeO3)3,Pnma
33281,Ho2(SeO4)3,R-3c
33282,Ho2(SeO4)3,Pbcn
33283,Ho2(SeO4)3,C2/c
33284,Er2SeO2,P-3m1
33285,Er2(SeO3)3,P-1
33286,Er2(SeO4)3,C2
33287,Tm2SeO2,P-3m1
33288,Tm2SeO2,I4/mmm
33289,TmSeO3,P2_1/c
33290,Yb2SeO2,P-3m1
33291,Yb2(SeO4)3,P2_1/c
33292,Yb2Se3O20,C2/c
33293,Lu2SeO2,P-3m1
33294,LuSeO3,P2_1/c
33295,Re3Se4O3,Pa-3
33296,Re3Se4O9,R-3m
33297,Au2Se4O11,C2/c
33298,Au2Se3O10,Cmc2_1
33299,Au2Se2O7,Pba2
33300,HgSeO3,P2_1/c
33301,HgSeO3,Pnma
33302,Hg3Se3O10,P2_1
33303,HgSeO4,Pmn2_1
33304,Hg4Se4O9,P2_1/c
33305,Hg3(SeO3)4,P2_1/c
33306,Hg2SeO3,Ibam
33307,Hg2SeO5,P2_1/c
33308,Hg2SeO3,P2_1/c
33309,Hg2SeO3,Cmc2_1
33310,Hg2SeO4,P2/c
33311,Hg3SeO6,P3_1
33312,Hg12Se6O25,R-3
33313,Hg3Se4O5,P-1
33314,Hg2Se2O7,P2_1/c
33315,Hg3SeO6,P1
33316,Tl2SeO4,P2_12_12_1
33317,Tl2SeO4,Pnma
33318,Tl2SeO4,C2/c
33319,Tl2(SeO3)3,P2_1/c
33320,Tl2(SeO4)3,P2_1/c
33321,Pb3SeO5,Cmc2_1
33322,PbSeO3,P2_1/m
33323,PbSeO3,P2_1/c
33324,PbSeO4,P2_1/c
33325,PbSe2O5,P2_1/c
33326,Pb(SeO3)2,P2_1/c
33327,Pb(SeO3)2,Pbcn
33328,Bi2SeO5,Aem2
33329,Bi2(SeO3)3,P2_1/c
33330,Bi2Se3O10,C2/c
33331,Bi2SeO6,Cmce
33332,Bi2SeO2,I4/mmm
33333,ThSeO,P4/nmm
33334,Th3Se3O16,I4/m
33335,Th(SeO3)2,P2_1/c
33336,Th(SeO3)2,Pna2_1
33337,ThSe2O7,P2_1/c
33338,Th(Se2O5)2,Pbca
33339,USeO5,P2_1/m
33340,USeO,P4/nmm
33341,USeO6,P2_1/c
33342,USe2O7,P-1
33343,USe2O9,C2/c
33344,U7(Se6O)2,P-6
33345,USeO10,C2/c
33346,Np2SeO9,P2_1/c
33347,NpSeO,P4/nmm
33348,Np3Se3O13,Pbca
33349,Np(SeO3)2,P2_1/c
33350,Pu(SeO3)2,P2_1/c
33351,Rb6Br4O,R-3c
33352,Rb4Br2O,I4/mmm
33353,Rb3BrO,Pm-3m
33354,RbBrO3,R3m
33355,RbBrO4,I4_1/a
33356,Sr4Br6O,P6_3mc
33357,Sr4Br6O,P4_2/nmc
33358,Sr(BrO3)2,Cc
33359,SrBrO5,P-1
33360,Sr(BrO3)2,C2
33361,SrBr2O7,C2/c
33362,Y3BrO4,Cmcm
33363,YBrO,R-3m
33364,YBrO,P4/nmm
33365,YBr3O8,P2_1/c
33366,Y(BrO6)3,P2_1
33367,ZrBrO,R-3m
33368,Zr4Br4O,R3m
33369,NbBr2O,C2
33370,NbBr3O,P-42_1m
33371,Nb(Br3O)2,Pmn2_1
33372,Mo3Br6O,I4/m
33373,Tc4Br7O,P2_1/c
33374,AgBrO3,R3m
33375,AgBrO4,P2_1/c
33376,AgBrO2,P2_1/m
33377,AgBrO2,C2/c
33378,AgBrO4,I4_1/a
33379,AgBrO4,Pnma
33380,AgBrO2,P1
33381,CdBrO,P2_1/c
33382,Cd(BrO2)2,P2_1/c
33383,Cd(BrO2)2,P1
33384,Cd(BrO2)2,Pnnm
33385,InBrO,Pmmn
33386,Cs6Br4O,R-3c
33387,Cs3BrO,P6_3/mmc
33388,CsBrO3,R3m
33389,CsBrO4,I4_1/amd
33390,Ba3(BrO)2,P2_1/c
33391,Ba3(BrO)2,Pnma
33392,Ba2Br2O,Ibam
33393,Ba4Br6O,P6_3mc
33394,Ba4Br6O,P4_2/nmc
33395,Ba4Br6O,P2_12_12_1
33396,BaBr2O,Pnma
33397,Ba(BrO3)2,C2/c
33398,Ba(BrO3)2,Fdd2
33399,BaBr2O7,C2/c
33400,Ba(BrO)2,C2/c
33401,BaBr2O11,P6_3/m
33402,LaBrO,P4/nmm
33403,LaBrO2,P2_1/m
33404,La7(BrO6)3,P6_3/m
33405,LaBr3O7,P-1
33406,CeBrO,P4/nmm
33407,CeBrO,R-3m
33408,PrBrO,P4/nmm
33409,PrBrO,R-3m
33410,PrBrO2,P2_1/m
33411,Pr7(BrO6)3,P6_3/m
33412,Pr(BrO2)3,P2/c
33413,NdBrO,P4/nmm
33414,NdBrO2,P2_1/m
33415,Nd7(BrO6)3,P6_3/m
33416,Nd2Br2O,P4/mmm
33417,SmBrO,P4/nmm
33418,Sm7(BrO6)3,P6_3/m
33419,Sm4Br6O,P6_3mc
33420,Eu2BrO2,C2/m
33421,Eu3BrO4,Cmcm
33422,EuBrO,P4/nmm
33423,Eu4Br6O,P6_3mc
33424,EuBrO2,P2_1/m
33425,EuBr2O,Pnma
33426,GdBrO,P4/nmm
33427,Gd3(BrO3)2,Pmn2_1
33428,Gd7(BrO6)3,P6_3/m
33429,GdBrO2,P2_1/m
33430,Dy(BrO2)3,P2/c
33431,HoBrO,P4/nmm
33432,HoBrO,R-3m
33433,HoBrO,Pmmn
33434,ErBrO,P4/nmm
33435,Er2Br2O,P4/mmm
33436,TmBrO,P4/nmm
33437,TmBrO,Pmmn
33438,Yb4Br6O,P6_3mc
33439,Yb4Br6O,P4_2/nmc
33440,YbBrO,P4/nmm
33441,Yb2Br2O,P4/mmm
33442,LuBrO,P4/nmm
33443,Lu2Br2O,P4/mmm
33444,LuBr3O8,P2_1/c
33445,W(BrO)2,Pmma
33446,W(BrO)2,Pmc2_1
33447,WBr4O,I4/m
33448,Re3Br9O2,C2/m
33449,AuBrO2,C2/c
33450,AuBrO2,C222_1
33451,Hg5(BrO2)2,Ibam
33452,Hg8Br3O4,P2_1/c
33453,HgBrO3,C2/c
33454,HgBrO4,Pbcm
33455,TlBrO3,R3m
33456,TlBrO4,Pnma
33457,Pb13(Br3O5)2,C2/c
33458,Pb3(BrO)2,Pnma
33459,Pb3BrO3,Pmc2_1
33460,Pb9(Br5O2)2,P4/n
33461,Pb(BrO3)2,C2/c
33462,Pb(BrO3)2,Pbcn
33463,PbBr2O7,C2/c
33464,Bi5BrO7,Cmce
33465,Bi3BrO4,P4/mmm
33466,Bi3BrO4,Pnna
33467,Bi4Br2O5,P2_1
33468,Bi12Br5O16,C2/m
33469,Bi24Br10O31,P1
33470,BiBrO,P4/nmm
33471,AcBrO,P4/nmm
33472,PaBr3O,C2/m
33473,UBrO2,Cmcm
33474,UBrO5,P2_1/c
33475,UBr4O9,P-1
33476,PuBrO,P4/nmm
33477,Pu2Br2O,P4/mmm
33478,RbSrO3,Pm-3m
33479,RbYO2,R-3m
33480,RbYO3,Pm-3m
33481,Rb3YO3,P2_1/c
33482,Rb3YO3,C2/m
33483,Rb2Zr2O5,P4/mmm
33484,Rb2ZrO3,Cmc2_1
33485,Rb2ZrO3,Pnma
33486,Rb2ZrO3,Cc
33487,Rb2ZrO3,Cmce
33488,Rb4Nb11O30,R-3m
33489,RbNbO3,P-1
33490,RbNbO3,C2/m
33491,RbNbO3,Pm-3m
33492,Rb3Nb20O34,Pm
33493,Rb2Nb2O5,Ima2
33494,Rb3NbO8,I-42m
33495,Rb2MoO4,C2/m
33496,Rb2MoO4,Pnma
33497,Rb2Mo2O7,Ama2
33498,Rb2Mo3O10,C2/c
33499,Rb2Mo4O13,P-1
33500,Rb3(MoO3)10,C2/m
33501,RbMoO3,Pm-3m
33502,Rb2Mo3O11,P2_12_12_1
33503,Rb2Mo2O5,Ima2
33504,Rb2MoO8,P2_1/c
33505,RbTcO4,I4_1/a
33506,Rb2RuO4,Pnma
33507,Rb(RuO2)4,I4/m
33508,RbRuO3,Pm-3m
33509,RbRhO3,Pm-3m
33510,RbPdO3,Pm-3m
33511,Rb3AgO2,P2_12_12_1
33512,RbAgO2,Cmcm
33513,RbAgO2,C2/c
33514,RbAgO,I4/mmm
33515,RbAgO2,Pmmm
33516,RbAgO,F-43m
33517,RbAgO3,Pm-3m
33518,Rb2Cd2O3,P2_1/c
33519,Rb2CdO2,Pbcn
33520,Rb6CdO4,P6_3mc
33521,RbCdO3,Pm-3m
33522,Rb2In4O7,P-31m
33523,Rb3InO3,P2_1/c
33524,Rb3InO3,C2/m
33525,RbInO3,Pm-3m
33526,Rb2SnO3,Cmc2_1
33527,Rb2SnO3,Cmce
33528,Rb4SnO4,P-1
33529,Rb2Sn2O3,R-3m
33530,RbSnO3,Pm-3m
33531,Rb2SnO2,P2_12_12_1
33532,Rb4SnO3,Cc
33533,Rb4SnO3,Pbca
33534,Rb8SnO6,P6_3cm
33535,Rb2SnO12,P-3c1
33536,Rb2Sb4O11,C2/m
33537,Rb3Sb5O14,Pbam
33538,RbSbO2,C2/c
33539,Rb4Sb2O5,Pnma
33540,Rb2Sb8O13,P2_1/m
33541,RbSbO3,Pm-3m
33542,Rb3SbO3,P2_13
33543,Rb3SbO3,C2/m
33544,Rb3SbO3,P2_1/c
33545,Rb4Sb2O5,Amm2
33546,Rb4SbO4,P2_1/c
33547,Rb8SbO3,Pm-3m
33548,Rb2TeO3,C2/m
33549,Rb6Te2O9,C2/c
33550,Rb4Te8O23,Pna2_1
33551,Rb4Te8O23,Pnma
33552,Rb(TeO3)2,Fd-3m
33553,RbTeO3,Pm-3m
33554,Rb2(TeO4)3,R-3m
33555,Rb3IO5,Pnna
33556,Rb4I2O,I4/mmm
33557,RbIO3,R3m
33558,Rb3IO,P6_3/mmc
33559,Rb2IO,Pnma
33560,RbIO4,I4_1/a
33561,Rb(IO3)3,P-1
33562,RbIO2,I4_1/a
33563,CsRbO,Pnma
33564,Cs11Rb7O3,P2_12_12_1
33565,CsRbO3,Pm-3m
33566,RbBaO3,Pm-3m
33567,RbLaO2,R-3m
33568,Rb2CeO3,C2/m
33569,RbPrO2,R-3m
33570,Rb2PrO3,Fddd
33571,Rb2PrO3,Pnma
33572,Rb2PrO3,Cmc2_1
33573,RbNdO2,R-3m
33574,RbSmO2,R-3m
33575,RbSmO3,Pm-3m
33576,RbEuO2,R-3m
33577,RbGdO2,R-3m
33578,RbGdO3,Pm-3m
33579,Rb2TbO3,Cmc2_1
33580,RbTbO3,Pm-3m
33581,RbDyO2,R-3m
33582,RbDyO3,Pm-3m
33583,Rb3DyO3,P2_1/c
33584,Rb3DyO3,C2/m
33585,RbHoO2,R-3m
33586,RbHoO3,Pm-3m
33587,Rb3HoO3,P2_1/c
33588,Rb3HoO3,C2/m
33589,RbErO2,R-3m
33590,RbErO3,Pm-3m
33591,Rb3ErO3,P2_1/c
33592,Rb3ErO3,C2/m
33593,RbTmO2,R-3m
33594,RbTmO3,Pm-3m
33595,Rb3TmO3,P2_1/c
33596,Rb3TmO3,C2/m
33597,RbTm3O6,Cmmm
33598,RbYbO2,R-3m
33599,Rb2Yb2O5,P4/mmm
33600,RbYbO3,Pm-3m
33601,RbLuO2,R-3m
33602,Rb3LuO3,P2_1/c
33603,Rb3LuO3,C2/m
33604,Rb2Hf2O5,P4/mmm
33605,Rb3Ta5O14,Pnma
33606,Rb2Ta15O32,R-3
33607,RbTaO3,C2/m
33608,RbTaO3,P-1
33609,RbTaO3,R3m
33610,RbTaO3,Pm-3m
33611,RbTa2O6,Ima2
33612,Rb8Ta6O19,I4/m
33613,Rb2Ta2O5,Imma
33614,Rb8Ta6O23,C2/c
33615,Rb3TaO8,I-42m
33616,Rb2W2O7,P2_1/c
33617,Rb2WO4,C2/m
33618,Rb(WO3)3,Cccm
33619,Rb(WO3)3,P2/m
33620,Rb(WO3)3,P6/mmm
33621,Rb5(WO3)18,P6/mmm
33622,Rb(WO3)3,P6_3mc
33623,Rb(WO3)4,P6/mmm
33624,Rb(WO3)3,P6mm
33625,Rb(WO3)4,Immm
33626,Rb2(WO3)9,P-62m
33627,Rb(WO3)6,Pnnm
33628,Rb(WO3)6,Immm
33629,Rb(WO3)2,Fd-3m
33630,Rb8W13O43,P1
33631,RbWO3,Pm-3m
33632,Rb4WO5,P-1
33633,Rb5(W4O15)2,P-1
33634,Rb2(WO4)3,R-3m
33635,Rb2W2O5,Ima2
33636,Rb(WO4)8,C2/m
33637,RbReO4,I4_1/a
33638,RbReO3,Pm-3m
33639,RbReO2,I4_1/amd
33640,Rb(OsO3)2,Fd-3m
33641,RbOsO3,R-3
33642,RbOsO3,Pm-3m
33643,RbOs2O9,Pna2_1
33644,Rb(IrO2)6,I4/m
33645,RbIrO3,Pm-3m
33646,RbPtO3,Pm-3m
33647,RbAuO2,Cmcm
33648,RbAuO,I4/mmm
33649,Rb5Au3O2,Pbam
33650,Rb3AuO,Pm-3m
33651,Rb7Au5O2,Immm
33652,RbAuO3,Pm-3m
33653,Rb2HgO2,I4/mmm
33654,RbHgO3,Pm-3m
33655,Rb3TlO3,P2_1/c
33656,RbTlO2,R-3m
33657,RbTlO,C2/m
33658,RbTlO3,Pm-3m
33659,Rb5Tl3O,Cmcm
33660,Rb2PbO3,Pnma
33661,Rb2PbO3,Cmc2_1
33662,Rb2Pb2O3,I2_13
33663,Rb4PbO4,P-1
33664,Rb4PbO4,P2_1/c
33665,Rb2Pb4O7,P-1
33666,Rb2PbO2,P-1
33667,Rb3PbO3,P2_1/c
33668,Rb3PbO3,C2/m
33669,Rb4PbO3,Pbca
33670,RbBiO2,C2/c
33671,Rb2Bi4O7,C2/c
33672,Rb3BiO3,P2_13
33673,Rb2Bi2O5,P4/mmm
33674,RbBiO3,Pm-3m
33675,Rb8BiO3,Pm-3m
33676,RbAcO3,Pm-3m
33677,RbPaO3,Pm-3m
33678,Rb4U5O17,Pbcn
33679,Rb8U9O31,Pbcn
33680,Rb2U2O7,P2_1/c
33681,RbUO3,Pm-3m
33682,Rb2U2O7,P-1
33683,Rb2U2O7,Pm
33684,Rb2UO4,I4/mmm
33685,Rb2U2O5,P4/mmm
33686,RbNpO3,Pm-3m
33687,Rb2NpO4,I4/mmm
33688,Rb2Np2O5,P4/mmm
33689,Rb3NpO9,C2/c
33690,RbPuO3,Pm-3m
33691,Rb2Pu2O5,P4/mmm
33692,Rb2PuO4,I4/mmm
33693,SrY2O4,Pnma
33694,Sr2Zr7O16,R-3
33695,SrZrO3,Pnma
33696,SrZrO3,Imma
33697,SrZrO3,Cmcm
33698,SrZrO3,I4/mcm
33699,SrZrO3,P4/mbm
33700,SrZrO3,P4mm
33701,SrZrO3,P2_13
33702,SrZrO3,Pm-3m
33703,Sr4Zr3O10,Pbca
33704,Sr3Zr2O7,I4/mmm
33705,Sr2ZrO4,I4/mmm
33706,Sr2Nb2O7,Cmc2_1
33707,Sr2Nb2O7,Pna2_1
33708,Sr5Nb4O15,P-3c1
33709,Sr4Nb2O9,P-3
33710,Sr4Nb2O9,P-1
33711,Sr5Nb5O17,Pnnm
33712,Sr5Nb5O17,Pnn2
33713,Sr5Nb4O15,C2/m
33714,Sr7Nb6O21,R-3
33715,SrNb2O6,P2_1/c
33716,Sr4Nb5O15,C2/m
33717,Sr6Nb2O11,P1
33718,Sr14Nb6O29,P1
33719,Sr4Nb2O9,P1
33720,Sr6Nb7O21,R-3
33721,Sr6Nb7O21,P1
33722,Sr4Nb2O9,Immm
33723,Sr4Nb2O9,C2/c
33724,Sr22Nb10O47,P1
33725,Sr14Nb19O57,P4/mmm
33726,Sr5Nb5O16,Pmn2_1
33727,SrNbO3,Pnma
33728,SrNbO3,Pm-3m
33729,Sr3Nb4O13,I4/mmm
33730,SrNb6O16,Amm2
33731,SrNb2O4,Pbcm
33732,Sr3NbO6,Fm-3m
33733,Sr2Nb5O9,P4/mmm
33734,SrNb8O14,Pbam
33735,Sr7Nb34O52,Cm
33736,SrNb4O6,P4/mmm
33737,SrNb4O14,R-3m
33738,Sr2MoO4,I4/mmm
33739,Sr3MoO6,Fm-3m
33740,SrMoO4,I4_1/a
33741,SrMoO3,C2/m
33742,SrMoO3,I4/mcm
33743,SrMoO3,Pm-3m
33744,Sr3Mo2O7,I4/mmm
33745,SrMoO3,Imma
33746,SrMoO2,I4_1/amd
33747,SrMo5O8,P2_1/c
33748,Sr2TcO4,I4/mmm
33749,SrTcO3,Pm-3m
33750,SrTcO3,Imma
33751,SrTcO3,Pnma
33752,Sr2RuO4,I4/mmm
33753,Sr4Ru2O9,P321
33754,Sr3Ru2O7,Ccce
33755,Sr3Ru2O7,I4/mmm
33756,Sr4Ru3O10,Cmce
33757,Sr4(RuO4)3,Pnma
33758,Sr8Ru7O24,P4/m
33759,SrRuO3,Pnma
33760,Sr11Ru10O33,P-1
33761,SrRuO3,Imma
33762,Sr16(Ru5O16)3,P-1
33763,SrRuO3,I4/mcm
33764,SrRuO3,Cmcm
33765,SrRuO3,Pm-3m
33766,Sr(RuO3)2,P-31m
33767,Sr2Ru3O10,C2/m
33768,Sr(RuO3)2,Imm2
33769,Sr12Ru11O36,P2_1/c
33770,SrRuO3,P4/mmm
33771,Sr2RuO6,P2_1/c
33772,Sr4RhO6,R-3c
33773,Sr2RhO4,I4_1/acd
33774,Sr2RhO4,I4/mmm
33775,Sr3Rh2O7,Ccce
33776,Sr5(RhO3)4,P-3c1
33777,Sr6(RhO3)5,R32
33778,SrRhO3,Pnma
33779,SrRhO3,Imma
33780,SrRhO3,I4/mcm
33781,SrRhO3,Pm-3m
33782,Sr(RhO2)2,Pmmn
33783,Sr3(RhO2)16,P1
33784,Sr4PdO6,R-3c
33785,Sr15Pd5O24,R32
33786,Sr15Pd5O24,C2
33787,Sr2PdO3,Immm
33788,SrPdO3,Pm-3m
33789,SrPd3O4,Pm-3n
33790,SrAgO2,C2/m
33791,SrAgO2,Pmma
33792,SrAgO2,I4/mcm
33793,SrAgO3,Pm-3m
33794,Sr(Ag3O2)2,Pnna
33795,Sr3CdO4,Pm-3m
33796,SrCdO2,P4/mmm
33797,Sr2In2O5,Ima2
33798,SrIn2O4,Pnma
33799,SrInO3,Pm-3m
33800,Sr2SnO4,P4_2/ncm
33801,Sr2SnO4,Cmce
33802,Sr2SnO4,Pccn
33803,Sr2SnO4,I4/mmm
33804,Sr3Sn2O7,Cmcm
33805,SrSnO3,Pnma
33806,SrSnO3,Imma
33807,SrSnO3,I4/mcm
33808,SrSnO3,Pm-3m
33809,Sr3SnO,Pm-3m
33810,Sr2Sb2O7,Imma
33811,Sr(SbO3)2,P-31m
33812,SrSbO3,Pm-3m
33813,Sr(SbO3)2,C2/c
33814,Sr5(Sb11O19)2,P2_1/c
33815,Sr4Sb2O,I4/mmm
33816,Sr3TeO6,P2_1/c
33817,Sr3TeO6,P-1
33818,Sr3TeO6,R3
33819,Sr3TeO6,Ia-3
33820,SrTeO3,C2
33821,SrTeO3,P1
33822,SrTeO3,P2_1/c
33823,SrTeO3,C2/c
33824,SrTeO3,Cc
33825,SrTeO3,P-1
33826,Sr6Te6O17,C2/c
33827,SrTeO4,Pbcn
33828,Sr3Te4O11,P-1
33829,Sr3Te4O11,P1
33830,SrTe3O8,P4_2/m
33831,SrTe5O11,P2/m
33832,Sr5(IO6)2,R-3c
33833,Sr2I2O,Ibam
33834,Sr4I6O,P6_3mc
33835,SrI2O,Pnma
33836,Sr(IO3)2,P2_1/c
33837,Sr(IO3)2,C2/c
33838,Sr(IO3)2,P2_12_12_1
33839,Sr(IO3)2,P2_1
33840,SrI2O7,C2/c
33841,Sr(IO)2,P2_1/c
33842,Sr(IO)2,P1
33843,SrI2O15,P-1
33844,Cs2Sr2O3,P2_1/c
33845,CsSrO3,Pm-3m
33846,BaSr3O4,Pm-3m
33847,Ba3Sr4O7,Immm
33848,BaSrO2,R-3m
33849,BaSrO2,P4/mmm
33850,Ba3SrO4,Pm-3m
33851,SrLa2O4,Fd-3m
33852,SrLa2O4,Pnma
33853,SrLa2O4,Cmcm
33854,Sr3La4O9,Cc
33855,Sr3La4O9,R3
33856,Sr3La4O9,P1
33857,SrCeO3,Pnma
33858,SrCe2O4,Pnma
33859,Sr2CeO4,Pbam
33860,SrPr2O4,Pnma
33861,Sr3Pr4O9,P1
33862,Sr2PrO4,Pbam
33863,SrPrO3,Pnma
33864,SrNd2O4,Fd-3m
33865,SrNd2O4,Pnma
33866,Sr3Nd4O9,Cc
33867,Sr3Nd4O9,P1
33868,SrNdO3,Pm-3m
33869,SrSm2O4,Fd-3m
33870,SrSm2O4,Pnma
33871,SrSm2O4,Cmcm
33872,SrEu4O5,I4/m
33873,SrEuO2,R-3m
33874,SrEuO3,Pm-3m
33875,SrGd2O4,Pnma
33876,SrTb2O4,Pnma
33877,SrTbO3,Pnma
33878,SrDy2O4,Pnma
33879,SrDyO3,Pm-3m
33880,SrHo2O4,Pnma
33881,SrHoO3,Pm-3m
33882,SrEr2O4,Pnma
33883,SrEr2O4,Pm
33884,SrErO3,Pm-3m
33885,SrTm2O4,Pnma
33886,SrTmO3,Pm-3m
33887,SrYb2O4,Pnma
33888,SrYbO3,Pm-3m
33889,Sr3Yb2O12,Ia-3d
33890,SrLu2O4,Pnma
33891,SrLu2O4,Fd-3m
33892,SrLu2O4,Cmcm
33893,Sr3Lu2O12,Ia-3d
33894,Sr2Hf7O16,R-3
33895,SrHfO3,Pnma
33896,SrHfO3,Imma
33897,SrHfO3,Cmcm
33898,SrHfO3,I4/mcm
33899,SrHfO3,P4/mbm
33900,SrHfO3,P4mm
33901,SrHfO3,Pm-3m
33902,Sr4Hf3O10,Cmce
33903,Sr3Hf2O7,Ccce
33904,Sr3Hf2O7,I4/mmm
33905,Sr2HfO4,P4_2/ncm
33906,Sr2HfO4,I4_1/acd
33907,Sr2HfO4,I4/mmm
33908,Sr2HfO4,Pbam
33909,Sr4HfO6,R-3c
33910,Sr2Ta2O7,Cmcm
33911,Sr2Ta2O7,Cmc2_1
33912,SrTa2O6,Pnma
33913,Sr5Ta4O15,P-3c1
33914,Sr5Ta4O15,P-3m1
33915,SrTa4O11,P6_322
33916,Sr3Ta5O15,P4/mbm
33917,Sr4Ta2O9,P-1
33918,Sr4Ta2O9,P2_1/c
33919,Sr3Ta2O8,C2/c
33920,Sr4Ta2O9,P-3c1
33921,Sr4Ta2O9,Pbcn
33922,Sr20Ta8O39,P1
33923,SrTaO3,Pm-3m
33924,Sr24Ta8O43,P1
33925,Sr6Ta2O11,P4/nmm
33926,SrTa2O7,I4/mmm
33927,SrTa2O7,P4/mmm
33928,Sr3WO6,R-3
33929,Sr3WO6,P2_1/c
33930,Sr3WO6,Cc
33931,Sr3WO6,P1
33932,Sr2WO5,Pnma
33933,Sr7W4O19,C2/m
33934,Sr5W3O14,Cc
33935,Sr5W3O14,Pbca
33936,Sr3W2O9,R-3c
33937,SrWO4,I4_1/a
33938,Sr3W2O9,Pnma
33939,Sr3W2O9,P2_1/m
33940,SrWO3,Pm-3m
33941,Sr11(ReO6)4,I4_1/a
33942,Sr5(ReO6)2,R-3c
33943,Sr7Re4O19,C2/m
33944,SrReO3,Pm-3m
33945,Sr5(ReO3)12,P1
33946,Sr(ReO3)3,Pnn2
33947,SrReO2,I4_1/amd
33948,Sr11(OsO6)4,I4_1/a
33949,SrOsO3,Pnma
33950,SrOsO3,Pm-3m
33951,SrOsO2,I4_1/amd
33952,Sr4IrO6,R-3c
33953,Sr2IrO4,I4_1/acd
33954,Sr2IrO4,I4/mmm
33955,Sr5Ir3O11,C2
33956,Sr5Ir3O11,Cm
33957,Sr3Ir2O7,Ccce
33958,Sr3Ir2O7,C2/m
33959,Sr4Ir3O10,I4/mmm
33960,SrIrO3,C2/c
33961,SrIrO3,Cmcm
33962,SrIrO3,Pm-3m
33963,Sr5(IrO3)6,Im-3
33964,Sr2IrO4,P1
33965,Sr4PtO6,R-3c
33966,SrPtO3,Pm-3m
33967,SrPt3O4,Pm-3n
33968,Sr5(AuO4)2,I4/mmm
33969,SrAuO2,C2/m
33970,Sr(AuO2)2,I4_1/a
33971,SrAuO3,Pm-3m
33972,SrHgO2,R-3m
33973,SrHgO3,Pm-3m
33974,Sr3Tl2O6,Pbam
33975,Sr2Tl2O5,P2_1/c
33976,SrTl2O4,Pnma
33977,SrTlO3,Pm-3m
33978,SrTl3O5,Cmcm
33979,Sr2PbO4,Pbam
33980,SrPbO3,Pnma
33981,Sr3PbO,Pm-3m
33982,Sr6Bi2O11,P4/nmm
33983,Sr6Bi2O11,P2_1/m
33984,Sr5(BiO4)3,P-1
33985,Sr2Bi2O5,Pnma
33986,Sr2Bi2O5,P2_1/m
33987,SrBiO3,P2_1/c
33988,Sr(BiO2)2,C2/m
33989,Sr7Bi23O40,C2/m
33990,SrBi5O9,P1
33991,Sr4Bi2O,I4mm
33992,Sr4Bi2O,I4/mmm
33993,Sr4Bi14O25,P1
33994,Sr5U5O18,P-1
33995,Sr9U9O34,P1
33996,Sr5U5O19,P1
33997,Sr5U5O19,Cm
33998,SrU2O6,Immm
33999,SrUO4,Pbcm
34000,SrUO4,R-3m
34001,Sr3U11O36,Pmmn
34002,Sr2U2O7,Pm
34003,Sr5U3O14,Pbca
34004,Sr2UO5,P2_1/c
34005,Sr4U2O9,P-1
